name,difficulty,description,equipment_needed,equipment,primary_muscle,secondary_muscle
Push Up,beginner,"Starting Position: Kneel on an exercise mat or floor and bring your feet together behind you. Slowly bend forward to place your palms flat on the mat, positioning your hands shoulder-width apart with your fingers facing forward or turned slightly inward. Slowly shift your weight forward until your shoulders are positioned directly over your hands. Reposition your hands as needed to allow full extension of your body without any bend at the hips or knees. Stiffen your torso by contracting your core/abdominal muscles (""bracing""), your glute and quadriceps muscles and align your head with your spine. Place your feet together with your ankles dorsiflexed (toes pointed towards your shins). Downward Phase: Slowly lower your body towards the floor while maintaining a rigid torso and head aligned with your spine. Do not allow your low back to sag or your hips to hike upwards during this downward phase. Continue to lower yourself until your chest or chin touch the mat/floor. Allow your elbows to flare outwards during the lowering phase. Upward Phase: Press upwards through your arms while maintaining a rigid torso and head aligned with your spine. For extra strength think about pushing the floor away from you. Do not allow your low back to sag or your hips to hike upwards. Continue pressing until the arms are fully extended at the elbows. An alternative position is to turn your hands to face forwards and keep your your elbows close to your sides during the downward phase. This shifts the emphasis from the chest muscles onto the triceps and may reduce stresses in the shoulder joint.

Pushing through the heel and outside surface of your palm provides greater force in your press and stability to your shoulders.",FALSE,null,"triceps, chest","biceps, shoulders"
Push up with Staggered Hands,advanced,Start in a push-up position with the hands wider than shoulder-width apart and the legs straight out directly behind the body about hip-width apart. Squeeze the thighs and glutes while moving the right hand forward a couple of inches and the left hand out a couple of inches to the left side. This will create an uneven hand position. Slowly lower the body toward the ground then back up to return to the starting position.,FALSE,null,"triceps, chest",biceps
Spider Walks,advanced,"Start in a push-up position with the hands shoulder-width apart and the legs straight out directly behind the body about hip-width apart. Push the toes of the left foot into the floor and squeeze the left thigh and glute while moving the right knee forward to the outside of the right elbow. While the right leg is forward, push back through the left heel to straighten the left leg. Then straighten the right leg and bring the left knee forward to the outside of the left elbow while reaching forward with the right hand. Alternate this arm and leg action for the desired distance.",FALSE,null,cardio,
Bent-over Row,advanced,"Grip a barbell with palms down so that the wrists, elbows, and shoulders are in a straight line. Lift the bar from the rack, bend forward at the hips, and keep the back straight with a slight bend in the knees. Lower the bar towards the floor until the elbows are completely straight, and keep the back flat as the bar is pulled towards the belly button. Then slowly lower the bar to the starting position and repeat. ",TRUE,barbell,"triceps, back","biceps, shoulders"
Chin-ups,advanced,"Starting Position: Stand under the chin-up bar and reach your arms overhead with your palms facing you.  Reach, jump or lift your body off the floor to grasp the handles firmly with a full grip position (thumbs wrapped around the handles).  Gently cross one leg over the other to stabilize your lower extremity and then stiffen (""brace"") your abdominal muscles to stabilize your spine.  Align your head vertically with your trunk under your hands and assume a neutral wrist position (i.e., wrist aligned in a straight line with your forearms).  Depress and retract your scapulae (pull shoulders back and down) and attempt to hold this position throughout the exercise. Slowly exhale and slowly pull your body upwards by flexing (bending) your elbows and pulling your arms down to your sides  Attempt to pull in a motion that drives your elbows directly down towards the floor, keeping your elbows in front of your body.  Attempt to keep your body aligned vertically to the floor and avoid swinging your body during your upward pull. Continue pulling upward until your chin is level with the bar or your hands.  Pause momentarily then slowly return to your starting position by allowing your arms to extend back overhead until your arms are fully extended.  Continue to maintain your shoulder and wrist position, and the vertical alignment of your trunk.  Repeat the movement. 

Exercise Variation: The intensity of this exercise can be increased with resistance that can be added by wearing a weight belt to which weights are connected. ",FALSE,pull up bar,"biceps, back",triceps
Seated Lat Pulldown,beginner,"STARTING POSITION: Sit in the machine, anchoring your lower extremity by adjusting the thigh pad to fit firmly against the top of your thighs.  Stiffen (“brace”) your abdominal muscles to stabilize your spine, and attempt to avoid any arching of your low back throughout the exercise.  Reach up to grasp the bar, firmly gripping the bar with both hands. While your arms are extended overhead, depress and retract your scapulae (pull shoulders back and down) and attempt to hold this position throughout the exercise.  Lean back slightly (no more than a 30 degree angle), using your legs to support your body (low back).  Maintain your head aligned with your spine. Slowly exhale and initiate the downward pull by first depressing (lower) your scapulae, then pulling the bar downward towards the top or mid-section of your chest. Attempt to pull in a motion that drives your elbows directly down towards the floor, bringing your elbows towards the sides of your torso. Avoid any additional backwards lean during the pull movement. Continue pulling until the bar nears or touches your chest, or more importantly, you observe your elbows no longer moving downward, but now beginning to move backwards.  Avoid any further pulling as this places additiomnal stresses into the shoulder joint. Pause momentarily, then slowly return to your starting position by allowing the bar to move upwards until your elbows are fully extended, then allow your scapule to rise slightly. Repeat the movement. Exercise Variation: Perform the exercise in a standing position with your feet in a staggered-stace (walking position).  Maintain a slight bend in your knees and shift your weight back onto your rear leg to create the backward lean. Avoid flexing (bending) forward at the hips during the pulling movement.",TRUE,Lat pulldown machine,back,null
Shrug,beginner,"Hold a barbell with a palms-down grip with the hands about shoulder-width apart. Keep the knees slightly bent, the hips straight, and the back tall, and raise the shoulders directly upwards to the ears as high as possible, lowering slowly to the original starting position. (Tip: grip the bar and think about pulling the hands apart from one another and focus on only raising/lowering the shoulders - DO NOT roll the shoulders.)",TRUE,barbell,back,null
Seated Row,beginner,"Starting Position: Adjust the seat height to a level that positions the machine handles approximately level, or near level, with your shoulders. Position your feet firmly on the floor or foot pads to stabilize your body.  Sit upright and extend your arms to grasp the handles without rounding your shoulders forward. Adjust the position the chest pad to contact your chest lightly.  Stiffen (“brace”) your abdominal muscles to stabilize your spine, but do not press your low back into the back rest. Maintain the natural arch in your low back and avoid arching your back throughout the exercise.  Depress and retract your scapulae (pull shoulders back and down), maintain a neutral wrist position (i.e., wrist in line with your forearms) and attempt to hold these positions throughout the exercise. From this start position with your tors0 vertical, scapulae (shoulder blades) flat against your ribcage and arms extended, gently exhale and perform a pulling movement. Flex (bend) your elbows and pull them towards your chest keeping your elbows close to the sides of your body.  Continue to maintain a neutral wrist position, and contact with your chest against the chest pad.  Avoid leaning back and arching your low back and attempt to minimize any movement of your head during the movement.

Continue pulling until your elbows pass the sides of your body. Pause momentarily then slowly return to your starting position, allowing your arms to move forward and elbows to extend (straighten) in a slow, controlled manner, moving the handles away from your body, stopping when your arms are fully extended. Maintain your upright trunk position and avoid forward rounding of your scapulae (shoulder blades). Repeat the movement. ",TRUE,seated row machine,"triceps, back",biceps
Crunch,beginner,"Starting Position: Lie in a supine (on your back) position on a mat with your knees bent, feet flat on the floor and heels 12 - 18"" from your tailbone. Place your hands behind your head, squeezing your scapulae (shoulder blades) together and pulling your elbows back without arching your low back. This elbow position should be maintained throughout the exercise. Align your head with your spine, but allow it to move into slight flexion (moving the chin towards the chest) during the upward phase of the exercise. Upward Phase: Exhale, contract your abdominal and core muscles and flex your chin slightly towards your chest while slowly curling your torso towards your thighs. The movement should focus on pulling your rib cage towards your pelvis (the neck stays relaxed while the chin is tucked towards the neck). Your feet, tailbone and lower back should remain in contact with the mat at all times. Continue curling up until your upper back is lifted off the mat. Hold this position briefly. Downward Phase: Gently inhale and slowly uncurl (lower) your torso back towards the mat in a controlled fashion keeping your feet, tailbone and low back in contact with the mat.

Proper form is important for this exercise to prevent excessive stress on your low back. Individuals usually perform this movement too rapidly and recruit the hip flexors to assist with the upward phase. This technique tilts the pelvis anteriorly, increasing the stress on the low back and should be avoided. The abdominals connect the rib cage to the pelvis so the movement should focus on bringing these two body parts closer together while keeping the neck and shoulders relaxed.",FALSE,null,abs,null
Medicine Ball Push ups,advanced,"Starting Position: Kneel on an exercise mat or floor and bring your feet together behind you. Slowly bend forward to place your palms on the sides of a medicine ball. Carefully shift your weight forward until your shoulders are positioned directly over your hands and the medicine ball. Reposition your feet as needed to allow full extension of your body without any sagging (downwards) or hiking (upwards) at the hips. Stiffen your torso by contracting your core and abdominal muscles (""bracing""). Your head should be aligned with your spine. Downward Phase: Slowly lower your body towards the ball while maintaining a rigid torso and head aligned with your spine. Do not allow your low back to sag or your hips to hike upwards during the downward phase. Contract your glutes (butt) and quadriceps (thigh) muscles to help maintain stability. Continue to lower yourself until your chest nears or lightly touches the ball. Your elbows should either remain close to the sides of your body or flare outwards slightly. Upward Phase: Press upwards through your arms while maintaining a rigid torso and head aligned with your spine. Do not allow your low back to sag or your hips to hike upwards. Continue pressing until the arms are fully extended at the elbows. ",TRUE,medicine ball,chest,"abs, shoulders"
Pull-over Crunch,advanced,"Lie face up flat on the ground with the feet flat on the floor and the knees bent up in the air. Place a kettlebell on the ground over the head, reach overhead with both hands, and grip the kettlebell by the handles. While keeping the arms straight, pull the kettlebell over the head to directly above the chest. Hold the kettlebell over the chest and draw the belly button in towards the ground to help pull the rib cage towards the hips, lifting the back off the ground to perform a crunch. Lower slowly back to the floor, and once the back is flat on the ground lower the kettlebell back overhead.",TRUE,kettlebells,abs,null
Roll Out,advanced,"Place the barbell with appropriate weight on floor, kneel down facing the bar, and place the hands on the bar about shoulder-width apart. Keep the hips pressed forward and the back straight allowing the barbell to roll away from the body. Maintain the trunk position and pull down with the arms to move the bar towards the body and return to the starting position.",TRUE,barbell,abs,null
Burpees,advanced,"Stand tall with your back straight, abs engaged, shoulders relaxed, legs together, and arms at your sides. Make sure you breathe deeply throughout this exercise. Burpees string together four distinct movements: 1) Squat deeply, placing your hands on the floor in front of you and bending your knees and hips deeply. 2) Shift your weight into your hands and jump back to a plank position so that your body forms a straight line from your shoulders to your hips to your feet. Keep feet together, abs tight, and hands directly under the shoulders in this position. 3) Jump your legs back in so you return to the deep squat described in phase 1. 4) Stand back up and return to the start position. Repeat all four phases continuously.",FALSE,null,cardio,null
Mountain Climbers,beginner,"Stand tall with your back straight, abs engaged, shoulders relaxed, legs together, and arms at your sides.  Bend forward to touch the floor (bend knees if necessary), shift your weight into your hands, then jump or walk your legs behind you to start in a plank position (hands under shoulders, abs pulled in tight, body in a straight line). Breathe deeply, keeping your back straight and abs engaged as ""march"" by bringing one knee toward your chest, return it to the floor, and then bring the opposite knee toward your chest. Repeat, continuously switching sides.",FALSE,null,cardio,null
Jumping Jacks,beginner,"Stand tall with your back straight, abs engaged, shoulders relaxed, arms at your sides, and feet together. Hop out with both feet while extending your arms out, forming an X with your arms and legs. Hop back in to the starting position (legs together, arms at your sides). Repeat.",FALSE,null,cardio,null
Chest Press,beginner,"Lie face up on a flat bench, and grip a barbell with the hands slightly wider than shoulder-width. Press the feet into the ground and the hips into the bench while lifting the bar off the rack. Slowly lower the bar to the chest by allowing the elbows to bend out to the side. Stop when the elbows are just below the bench, and press feet into the floor to press the weight straight up to return to the starting position.",TRUE,"barbell, bench","triceps, chest","biceps, shoulders"
Incline Chest Press,beginner,"Starting Position: Grasp two dumbbells and lie supine (on your back) on an incline bench angled between 45 and 60 degrees with your feet placed firmly on the floor or on a raised platform to allow you to maintain a neutral spine (flat to normal curvature). Depress and retract your scapulae (pull shoulders down and back) to make firm contact with the bench. Your head, shoulders, butt and feet should make contact with the bench and floor/riser throughout the exercise. If using a spotter, signal for assistance in moving to your starting position. Grasp each dumbbell with a closed, pronated grip (palms facing forward, thumbs wrapped around the handle) and press the dumbbells in unison to a level over your eyes or slightly higher, with your elbows fully extended. Maintain a neutral wrist position (avoid flexion / extension at the wrist joint). Downward Phase: Inhale and slowly lower the dumbbells in unison and in a controlled movement towards your upper chest, but moving slightly wider towards the armpits. Gently touch the dumbbells to your chest without bouncing, maintaining your neutral wrist position. Keep the elbows under your wrists, and either close to your sides (emphasizes more triceps) or flared out from the body (emphasizes more pectorals). Maintain all points of contact with the bench and floor/riser and avoid any arching in the low back. Upward Phase: Exhale and gently press upwards to full elbow extension with the dumbbells positioned at your starting position. Maintain your points of contact with the bench and floor/riser, avoid arching your back during the lift and maintain your neutral wrist position throughout the movement.",TRUE,"bench, dumbbells",chest,shoulders
Lying Chest Fly,advanced,"Starting Position: Grasp two dumbbells and lie supine (on your back) on a flat bench with your feet placed firmly on the floor or upon a raised platform to allow you to maintain a neutral (flat to normal) spine. If working with a spotter, signal the spotter for assistance in handing you the dumbbells. Depress and retract your scapulae (pull shoulders down and back) to make firm contact with the bench. Your head, shoulders, butt and feet should make contact with the bench and floor/riser throughout the exercise. Signal the spotter for assistance in moving to the starting position. Grasp each dumbbell with a closed, pronated grip (palms facing forward, thumbs wrapped around the handle), pressing the dumbbells to a position shoulder-width apart with your elbows extended. Externally rotate the arms (rotate your elbows to face outward and palms to face inward), slightly flexing the elbows, but maintaining a neutral wrist position (avoid flexion/extension at the wrist joint). Downward Phase: Inhale and slowly lower the dumbbells in unison in a wide arc until they lie level with your shoulders or chest. Keep the dumbbells parallel with each other during the movement. Maintain your slightly flexed elbows, neutral wrist position and contact of your head, shoulder, butt and feet with the bench and floor/riser. Upward Phase: Exhale and slowly raise the dumbbells upward in a wide arc back to your starting position, keeping the elbows slightly flexed, wrists neutral and making contact with the head, shoulders, butt and feet with the bench and floor/riser.",TRUE,"bench, dumbbells",chest,shoulders
Plank-ups,beginner,"Start in a push-up position with the hands under the shoulders and the legs stretched out directly behind. Squeeze the thigh and glute muscles to keep body and legs in a straight line, and lower down to the elbows one elbow at a time. From this position on the elbows, press the hands into the floor one at a time to return to the push-up position.",FALSE,null,"triceps, chest","abs, biceps"
Push up with Single-leg Raise,advanced,"Starting Position: Kneel on an exercise mat or floor and bring your feet together behind you. Slowly bend forward to place your palms flat on the mat, positioning your hands shoulder-width apart with your fingers facing forward. Slowly shift your weight forward until your shoulders are positioned directly over your hands. Reposition your hands as needed to allow full extension of your body without any bend at the hips or knees. Stiffen your torso by contracting your core and abdominal muscles (""bracing"") and align your head with your spine. Place your feet together with your ankles dorsiflexed (toes pointed towards your shins). Downward Phase: Slowly lower your body towards the floor while maintaining a rigid torso and head aligned with your spine. Do not allow your low back to sag or your hips to hike upwards during this downward phase, contract your glutes (butt) and quadriceps (thigh) muscles to create stability for your core. Continue to lower yourself until your chest or chin touch the mat or floor. Your elbows should remain close to the sides of your body or be allowed to flare outwards slightly. Upward Phase: Press upwards through your arms while maintaining a rigid torso and head aligned with your spine. As your press upwards, extend your left hip to lift your left foot off the floor, keeping the knee extended. Attempt to avoid rotation in your hip as you raise the left leg off the floor. Do not allow your low back to sag or your hips to hike upwards. Continue pressing until the arms are fully extended at the elbows and your left leg is extended off the floor. Hold this position briefly before returning to your starting position. Repeat with your opposite leg.",FALSE,null,cardio,null
Asynchronous Waves,advanced,"Securely attach a heavy rope to an anchor point, grab one end of the rope in each hand with the palms down. Stand with the feet about shoulder-width apart with both the hips and knees slightly bent, and hold both lines of rope directly in front. Hold one end of the rope in each hand and keep the elbows close to the body. Lift the right arm up quickly before snapping it down to create a wave down the rope. As the right arm comes down quickly, lift the left arm at the same time to start moving the left side of the rope. Alternate arms to explosively snap the rope up and down for the duration of the exercise.",TRUE,heavy ropes,cardio,null
Deadlift,advanced,"Stand behind the barbell with the feet about shoulder-width apart, the toes slightly rotated out, and the shins almost touching the bar. Sit back into the hips slightly while keeping a straight back so that the chest is lifted upward, and bend forward to grip the bar in an over-under grip with one palm facing up and the other facing down. Squeeze the bar in the hands and sink back onto the hips while pressing the feet into the floor. Keeping the back flat, push the hips forward to move to standing position. Finish standing in a tall position with the shoulders pulled back and the legs straight. Return to the starting position by shifting the weight back into the hips and keep the back straight while allowing the knees to bend. When this movement is done properly, the glutes and the back of the thighs should feel the work, NOT the back.",TRUE,barbell,cardio,null
Lateral Crawls,beginner,"Start in a push-up position with the hands shoulder-width apart and the legs straight out directly behind the body about hip-width apart. Squeeze the thighs and glutes and move the right hand and the right foot directly to the right. Once that hand and foot are on the ground, bring the left hand and foot towards the middle of the body. As soon as the left hand and foot are placed on the ground, start the next phase of movement with the right hand and foot. Alternate this arm and leg action for the desired distance.",FALSE,null,cardio,null
Lunge with Overhead Press,advanced,"Starting Position: Stand with your feet together. Depress and retract your scapulae (pull your shoulders down and back) without arching your low back, and ""brace"" (engage your abdominal/core muscles) to stiffen your spine. Hold a light-to-moderate weight medicine ball in front of your chest with both hands firmly holding on to the ball. Step forward slowly lift the right foot off the floor, stabilizing your body on the left (stance / supporting) leg.  Maintain the abdominal bracing in order to avoid any sideways tilting or swaying in your upper body and press the left (stance / supporting) foot firmly into the ground to reduce any unwanted movement and maintain stability. Hold this position momentarily before stepping forward. The right (swing) leg should initiate contact with a heel strike first, slowly transferring your body weight into the right (forward) leg with the foot placed firmly on the floor, think about lowering yourself into your hips by allowing your weight to shift downwards towards the floor instead of forward. As you load your bodyweight into the right leg, avoid any sideways tilting or swaying in your upper body and try not to move the left (supporting) foot. While simultaneously lowering yourself into your right leg and hip, lift your hands holding the medicine ball straight overhead while continuing to maintain the abdominal bracing. While in the bottom (downward) phase of the lunge, pull the medicine ball back down towards your chest, continue to maintain a stiff core and drive your right foot into the ground to extend the right knee and straighten the leg to return to the original (starting) position of standing with both feet under the hips and the ball held in front of the chest.  Repeat for a specific number of repetitions or a certain period of time.",TRUE,medicine ball,cardio,null
Prone Runner,advanced,"Lying face down on top of a stability ball, walk the arms out slowly until the lower legs are resting on top of the ball. Bring one knee off the ball and bend it under the chest. Keep the neck straight and spine in a neutral position. With the leg that is on the ball, pull the knee in towards the chest, bending the knee while kicking the opposite leg straight out over the ball. Continue alternating these leg positions for the desired number of repetitions before switching legs.",TRUE,stability ball,cardio,null
Tricep Pressdown Exercise,beginner,"Stand with the feet hip-width apart, the hips straight, the back tall, and the knees slightly bent. Place the cable pulley at the highest position, use a straight bar attachment, and grip the bar firmly in both hands. Pull the elbows in close to the sides and slowly push the hands down towards the floor. Straighten the arms completely before bending the elbows to return to the starting position.",TRUE,resistance bands or cables,triceps,biceps
Lateral Raise,beginner,"Starting Position: Stand holding dumbbells in your hands with a closed, neutral grip (thumbs around the handles and palms facing your body). Position the dumbbells alongside your thighs with your elbows extended or holding a slight bend. Assume either a split-stance position to stabilize your body or position your feet slightly wider than hip-width apart. Stiffen your torso by contracting your abdominal and core muscles (""bracing""), and depress and retract your scapulae (pull your shoulders down and back), maintaining this position throughout the exercise. Your head position should be aligned with your spine. Upward Phase: Exhale and slowly raise the dumbbells up and out to your sides. Your elbows and upper arms should rise together and be slightly ahead of your forearms and dumbbells. As your arms move past 60 - 70 degrees (nearing shoulder level), rotate them slightly upwards so that the front edge of the dumbbells point slightly upwards. Continue raising the dumbbells until your arms are level with your shoulders and approximately parallel with the floor. Maintain your torso erect (no arching your low back) and neutral wrist position (avoid flexion and extension of your wrists). Downward Phase: Inhale and gently lower the dumbbells back towards your starting position keeping your elbows slightly extended and holding the neutral grip position. Maintain your foot, torso, shoulder and wrist positions while lowering the dumbbells and rotating them slightly downwards as your arms pass that 60-70 degree mark.",TRUE,dumbbells,shoulders,null
Russian Twist,advanced,"Lean on top of an stability ball with the upper back on the ball and the hips out straight in front of the body, with knees bent at 90 degrees. Keep the body straight from shoulders to knees. Hold the arms out straight in front of the chest with the palms touching each other. Twist through the stomach and shoulders rotating on to one shoulder with the hips up. Keep the feet on the ground and back straight and rotate to the opposite side.",TRUE,stability ball,"abs, obliques","glutes, hamstrings"
Standing Calf Raises - Wall,beginner,"Starting Position: Stand 6 -12"" away from a wall with your feet hip-width apart and facing forward. Extend your arms to place your palms on the wall, level with your chest or shoulders. Upward Phase: Exhale and slowly lift your heels off the floor keeping your knees extended and without rotating your feet. Use your hands on the wall to support your body. Hold your raised position briefly. Downward Phase: Inhale and slowly lower your heels back towards the floor.",FALSE,null,calves,null
Calf Raises,advanced,"Place a barbell in a rack at about shoulder-height. Dip under the bar so that it rests behind the neck across the top of the back and shoulder blades, and grip the bar with the hands just outside the shoulders. Raise the chest and squeeze the shoulder blades together to maintain a straight back throughout the entire movement. Stand up to bring the bar off the rack and step backwards, placing both feet approximately hip-width apart and squarely set on the floor with the toes pointed forward. (Tip: for more development on the outside of calves point feet slightly inwards.) Keep a slight bend in knees, and press the toes into the ground while lifting the heels up. Pause at the top, and slowly roll the heels back down to the floor, then pause again and repeat for the desired number of repetitions.",TRUE,barbell,calves,null
